victory_status,opening_code,opening_name,rating_gap_class
Draw,D00,Queen's Pawn Game,>250
Mate,D04,Queen's Pawn Game,51-100
Mate,B01,Scandinavian Defense,201-250
Mate,D00,Queen's Pawn Game,51-100
Resign,A40,Queen's Pawn,>250
Resign,A84,Dutch Defense,>250
Resign,A40,Horwitz Defense,>250
Resign,B01,Scandinavian Defense,51-100
Out of Time,B00,Nimzowitsch Defense,0-50
Resign,A45,Indian Game,0-50
Mate,A40,Queen's Pawn,0-50
Resign,A00,Hungarian Opening,151-200
Mate,C33,King's Gambit,151-200
Resign,D50,Queen's Gambit,51-100
Resign,A03,Bird Opening,51-100
Resign,B00,Nimzowitsch Defense,151-200
Mate,B20,Sicilian Defense,0-50
Resign,B00,Nimzowitsch Defense,0-50
Resign,C70,Ruy Lopez,0-50
Resign,C50,Italian Game,0-50
Resign,D24,Queen's Gambit,51-100
Resign,C50,Italian Game,0-50
Resign,B30,Sicilian Defense,>250
Mate,C34,King's Gambit,>250
Resign,A00,Mieses Opening,201-250
Resign,C50,Giuoco Piano,201-250
Resign,D00,Blackmar-Diemer Gambit,>250
Mate,C40,Elephant Gambit,0-50
Resign,B50,Sicilian Defense,>250
Mate,C00,French Defense,>250
Resign,D20,Queen's Gambit,151-200
Resign,C00,French Defense,201-250
Resign,C42,Russian Game,0-50
Draw,C23,Bishop's Opening,51-100
Resign,B30,Sicilian Defense,151-200
Resign,C50,Four Knights Game,51-100
Out of Time,D04,Queen's Pawn Game,0-50
Draw,B20,Sicilian Defense,0-50
Resign,D21,Queen's Gambit,>250
Resign,D20,Queen's Gambit,0-50
Out of Time,E90,King's Indian Defense,0-50
Mate,C00,French Defense,101-150
Resign,A03,Bird Opening,51-100
Resign,C00,French Defense,51-100
Resign,C02,French Defense,101-150
Resign,A04,Zukertort Opening,0-50
Resign,C36,King's Gambit,201-250
Mate,A09,Reti Opening,51-100
Mate,C45,Scotch Game,101-150
Mate,A04,Zukertort Opening,0-50
Mate,C00,French Defense,201-250
Mate,A00,Kadas Opening,>250
Resign,C18,French Defense,101-150
Mate,C03,French Defense,151-200
Resign,D85,Gruenfeld Defense,101-150
Resign,B50,Sicilian Defense,51-100
Resign,B32,Sicilian Defense,51-100
Resign,A53,Old Indian Defense,51-100
Resign,B20,Sicilian Defense,0-50
Resign,D50,Queen's Gambit,0-50
Mate,B52,Sicilian Defense,0-50
Resign,E20,Nimzo-Indian Defense,101-150
Resign,B20,Sicilian Defense,0-50
Mate,A40,Mikenas Defense,51-100
Resign,A10,English Opening,51-100
Resign,B25,Sicilian Defense,0-50
Mate,E61,King's Indian Defense,0-50
Resign,B20,Sicilian Defense,101-150
Mate,A48,London System,51-100
Mate,B00,Owen Defense,101-150
Resign,C66,Ruy Lopez,0-50
Resign,A49,East Indian Defense,0-50
Resign,B01,Scandinavian Defense,201-250
Resign,C40,King's Pawn Game,51-100
Mate,C65,Ruy Lopez,101-150
Resign,A45,Paleface Attack,51-100
Resign,E61,King's Indian Defense,151-200
Mate,B21,Sicilian Defense,0-50
Draw,C02,French Defense,51-100
Resign,C61,Ruy Lopez,0-50
Mate,B22,Sicilian Defense,51-100
Mate,B22,Sicilian Defense,101-150
Resign,C40,King's Pawn Game,0-50
Mate,B22,Sicilian Defense,0-50
Resign,A04,Reti Opening,51-100
Mate,B02,Alekhine Defense,51-100
Mate,E77,King's Indian Defense,51-100
Resign,B42,Sicilian Defense,51-100
Mate,B50,Sicilian Defense,101-150
Mate,B20,Sicilian Defense,0-50
Resign,C41,Philidor Defense,51-100
Mate,B10,Caro-Kann Defense,51-100
Resign,C10,French Defense,0-50
Mate,E60,Indian Game,>250
Mate,C68,Ruy Lopez,201-250
Resign,C20,King's Pawn Game,151-200
Resign,A01,Nimzo-Larsen Attack,101-150
Mate,C50,Italian Game,0-50
Mate,C00,French Defense,0-50
Resign,D15,Slav Defense,0-50
Out of Time,C20,King's Pawn Game,51-100
Resign,C42,Russian Game,0-50
Resign,B01,Scandinavian Defense,51-100
Out of Time,C65,Ruy Lopez,201-250
Resign,C44,King's Knight Opening,0-50
Mate,B01,Scandinavian Defense,>250
Resign,D02,Queen's Pawn Game,>250
Mate,A00,Van't Kruijs Opening,101-150
Draw,C42,Russian Game,51-100
Resign,C20,King's Pawn Game,0-50
Mate,C21,Center Game,>250
Resign,B20,Sicilian Defense,>250
Resign,A04,Zukertort Opening,>250
Mate,B20,Sicilian Defense,>250
Mate,B50,Sicilian Defense,>250
Resign,C10,French Defense,>250
Mate,C46,Four Knights Game,>250
Resign,C57,Italian Game,>250
Mate,C10,French Defense,151-200
Resign,A40,Englund Gambit,51-100
Resign,D00,Queen's Pawn Game,>250
Resign,B01,Scandinavian Defense,51-100
Resign,C40,King's Pawn Game,101-150
Resign,B01,Scandinavian Defense,51-100
Resign,B00,Duras Gambit,0-50
Resign,D00,Queen's Pawn Game,101-150
Mate,C23,Bishop's Opening,0-50
Resign,C20,Bishop's Opening,151-200
Resign,B03,Alekhine Defense,201-250
Mate,C40,Elephant Gambit,201-250
Resign,A17,English Opening,0-50
Resign,C44,Scotch Game,>250
Mate,C44,King's Knight Opening,201-250
Resign,C40,Elephant Gambit,151-200
Mate,C45,Scotch Game,>250
Resign,B50,Sicilian Defense,51-100
Resign,C55,Italian Game,101-150
Mate,C65,Ruy Lopez,0-50
Mate,C65,Ruy Lopez,101-150
Mate,A06,Zukertort Opening,151-200
Mate,B12,Caro-Kann Defense,101-150
Mate,C21,Center Game,101-150
Mate,C65,Ruy Lopez,51-100
Resign,A42,Modern Defense,>250
Resign,A01,Nimzo-Larsen Attack,>250
Mate,A40,Englund Gambit,>250
Resign,A00,Hungarian Opening,>250
Resign,A01,Nimzo-Larsen Attack,>250
Mate,A04,Zukertort Opening,>250
Resign,A01,Nimzo-Larsen Attack,>250
Resign,C00,French Defense,151-200
Draw,A43,Benoni Defense,>250
Resign,A40,Horwitz Defense,0-50
Resign,D02,Queen's Gambit,>250
Mate,C30,King's Gambit,>250
Mate,C00,French Defense,>250
Resign,C00,French Defense,51-100
Resign,B01,Scandinavian Defense,151-200
Resign,C34,King's Gambit,151-200
Resign,C30,King's Gambit,201-250
Mate,C44,Scotch Game,201-250
Resign,C00,French Defense,0-50
Mate,A40,Mikenas Defense,101-150
Mate,C00,French Defense,101-150
Out of Time,D00,Queen's Pawn Game,0-50
Resign,B02,Alekhine Defense,151-200
Resign,C00,French Defense,0-50
Resign,B01,Scandinavian Defense,0-50
Resign,B01,Scandinavian Defense,101-150
Resign,C42,Petrov's Defense,0-50
Resign,C00,French Defense,0-50
Resign,C00,French Defense,51-100
Out of Time,C21,Center Game,51-100
Mate,B01,Scandinavian Defense,201-250
Mate,A10,English Opening,151-200
Mate,C25,Vienna Game,0-50
Mate,A04,Zukertort Opening,>250
Resign,C20,Bishop's Opening,201-250
Resign,C21,Center Game,201-250
Mate,C24,Bishop's Opening,151-200
Resign,D00,Queen's Pawn Game,0-50
Mate,B00,Owen Defense,201-250
Resign,B06,Modern Defense,101-150
Resign,D02,Queen's Pawn Game,201-250
Resign,D02,Queen's Pawn Game,51-100
Resign,C44,King's Knight Opening,51-100
Out of Time,C11,French Defense,151-200
Out of Time,C21,Center Game,0-50
Mate,C42,Russian Game,51-100
Resign,C42,Russian Game,0-50
Resign,A40,Horwitz Defense,>250
Resign,A43,Old Benoni Defense,>250
Mate,B13,Caro-Kann Defense,>250
Resign,D02,Queen's Pawn Game,>250
Resign,A40,Horwitz Defense,>250
Resign,B00,Caro-Kann Defense,>250
Mate,B15,Caro-Kann Defense,>250
Mate,B10,Caro-Kann Defense,>250
Resign,B21,Sicilian Defense,>250
Mate,B12,Caro-Kann Defense,>250
Out of Time,C27,Vienna Game,>250
Resign,B12,Caro-Kann Defense,>250
Resign,C50,Italian Game,>250
Resign,B20,Sicilian Defense,>250
Resign,B15,Caro-Kann Defense,>250
Resign,D35,Queen's Gambit,>250
Resign,C48,Four Knights Game,>250
Resign,D01,Queen's Pawn Game,>250
Mate,E20,Nimzo-Indian Defense,>250
Resign,D35,Queen's Gambit,>250
Mate,B07,Pirc Defense,>250
Resign,B02,Alekhine Defense,101-150
Mate,C55,Italian Game,101-150
Resign,B32,Sicilian Defense,0-50
Draw,B50,Sicilian Defense,151-200
Resign,B20,Sicilian Defense,>250
Resign,C21,Center Game,201-250
Mate,C55,Italian Game,51-100
Resign,C40,King's Pawn Game,0-50
Resign,C50,Italian Game,51-100
Out of Time,C26,Vienna Game,0-50
Mate,C48,Four Knights Game,0-50
Mate,C42,Russian Game,51-100
Resign,D06,Queen's Gambit,51-100
Mate,A03,Bird Opening,51-100
Resign,D07,Queen's Gambit,51-100
Out of Time,B20,Sicilian Defense,201-250
Mate,B01,Scandinavian Defense,>250
Mate,C57,Italian Game,151-200
Mate,A20,English Opening,0-50
Draw,C02,French Defense,101-150
Mate,C65,Ruy Lopez,51-100
Mate,A06,Zukertort Opening,101-150
Resign,A10,English Opening,51-100
Mate,D00,Queen's Pawn Game,101-150
Resign,A20,English Opening,51-100
Mate,C40,King's Knight Opening,101-150
Resign,C42,Russian Game,>250
Resign,C34,King's Gambit,>250
Mate,D00,Blackmar-Diemer Gambit,201-250
Resign,C62,Ruy Lopez,101-150
Mate,C44,King's Knight Opening,51-100
Resign,B01,Scandinavian Defense,101-150
Resign,C42,Petrov's Defense,201-250
Mate,A22,English Opening,0-50
Resign,D00,Queen's Pawn Game,0-50
Resign,A21,English Opening,0-50
Resign,D00,Queen's Pawn Game,0-50
Resign,C42,Russian Game,101-150
Resign,B13,Caro-Kann Defense,101-150
Mate,C20,King's Pawn Game,0-50
Mate,B01,Scandinavian Defense,0-50
Mate,D00,Blackmar-Diemer Gambit,0-50
Mate,C23,Bishop's Opening,0-50
Mate,A00,Mieses Opening,0-50
Resign,C20,King's Pawn Game,>250
Mate,B06,Modern Defense,>250
Draw,C41,Philidor Defense,51-100
Resign,C55,Italian Game,>250
Mate,C23,Bishop's Opening,>250
Resign,D02,Queen's Pawn Game,51-100
Resign,A52,Budapest Defense,51-100
Resign,A01,Nimzo-Larsen Attack,51-100
Mate,C65,Ruy Lopez,0-50
Resign,A21,English Opening,0-50
Draw,C55,Italian Game,0-50
Mate,C20,King's Pawn Game,0-50
Resign,A34,English Opening,151-200
Draw,A22,English Opening,0-50
Draw,A21,English Opening,101-150
Resign,C21,Danish Gambit,201-250
Mate,A22,English Opening,201-250
Resign,C20,King's Pawn Game,0-50
Draw,C34,King's Gambit,>250
Resign,A22,English Opening,0-50
Resign,D00,Queen's Pawn Game,0-50
Out of Time,C24,Bishop's Opening,0-50
Resign,C46,Three Knights Opening,0-50
Resign,C62,Ruy Lopez,101-150
Resign,C62,Ruy Lopez,0-50
Out of Time,C20,King's Pawn Opening,201-250
Resign,C46,Three Knights Opening,0-50
Resign,C00,French Defense,101-150
Draw,A06,Reti Opening,0-50
Resign,A04,Zukertort Opening,0-50
Draw,A04,Zukertort Opening,0-50
Out of Time,C00,French Defense,151-200
Mate,A04,Zukertort Opening,>250
Resign,A04,Zukertort Opening,51-100
Draw,C42,Russian Game,>250
Mate,A04,Zukertort Opening,101-150
Resign,A04,Zukertort Opening,0-50
Out of Time,D20,Queen's Gambit,51-100
Resign,B06,Modern Defense,101-150
Mate,A04,Zukertort Opening,51-100
Resign,D02,Queen's Pawn Game,0-50
Resign,C55,Italian Game,0-50
Out of Time,C55,Italian Game,51-100
Resign,B00,Owen Defense,51-100
Mate,C46,Four Knights Game,101-150
Mate,C41,Philidor Defense,101-150
Resign,C50,Italian Game,151-200
Resign,C42,Petrov's Defense,201-250
Resign,C55,Italian Game,>250
Resign,D06,Queen's Gambit,51-100
Resign,B00,King's Pawn Game,51-100
Mate,B08,Pirc Defense,101-150
Mate,C41,Philidor Defense,0-50
Resign,A10,English Opening,0-50
Mate,A04,Zukertort Opening,0-50
Draw,C55,Italian Game,0-50
Resign,C41,Philidor Defense,>250
Mate,D02,Queen's Pawn Game,51-100
Mate,A06,Reti Opening,151-200
Out of Time,A06,Reti Opening,51-100
Out of Time,C55,Italian Game,151-200
Resign,D02,Queen's Pawn Game,151-200
Resign,C46,Three Knights Opening,0-50
Resign,B00,King's Pawn Game,51-100
Resign,A40,Horwitz Defense,0-50
Mate,D30,Queen's Gambit,51-100
Mate,A10,English Opening,101-150
Mate,A02,Bird Opening,151-200
Mate,A43,Benoni Defense,51-100
Mate,D20,Queen's Gambit,201-250
Resign,A21,English Opening,201-250
Mate,C23,Bishop's Opening,>250
Mate,C24,Bishop's Opening,0-50
Resign,C23,Bishop's Opening,201-250
Mate,C41,Philidor Defense,0-50
Mate,A00,Van't Kruijs Opening,51-100
Mate,C20,King's Pawn Game,0-50
Mate,C20,King's Pawn Game,151-200
Resign,C00,French Defense,51-100
Mate,C40,King's Pawn Game,0-50
Mate,C20,King's Pawn Game,0-50
Mate,B01,Scandinavian Defense,>250
Resign,C00,French Defense,>250
Mate,A40,Horwitz Defense,51-100
Resign,C24,Bishop's Opening,151-200
Mate,C23,Bishop's Opening,0-50
Mate,C24,Bishop's Opening,0-50
Mate,C40,King's Pawn Game,151-200
Resign,C00,French Defense,0-50
Mate,C23,Bishop's Opening,0-50
Mate,A40,Englund Gambit,151-200
Mate,A00,Van Geet Opening,101-150
Mate,B02,Alekhine Defense,101-150
Resign,C00,French Defense,51-100
Mate,C20,King's Pawn Game,101-150
Draw,C20,King's Pawn Game,101-150
Resign,C40,King's Pawn Game,51-100
Mate,B01,Scandinavian Defense,101-150
Mate,C23,Bishop's Opening,151-200
Mate,B01,Scandinavian Defense,151-200
Resign,B02,Alekhine Defense,0-50
Out of Time,C20,King's Pawn Game,51-100
Mate,A20,English Opening,51-100
Mate,B01,Scandinavian Defense,51-100
Resign,C21,Center Game,0-50
Mate,C23,Bishop's Opening,51-100
Mate,C55,Italian Game,>250
Mate,C40,King's Pawn Game,>250
Mate,B00,King's Pawn Game,>250
Mate,B00,Owen Defense,>250
Mate,B00,Owen Defense,201-250
Resign,B01,Scandinavian Defense,201-250
Mate,C20,King's Pawn Game,151-200
Mate,B00,Nimzowitsch Defense,151-200
Mate,B00,King's Pawn Game,>250
Mate,B00,Owen Defense,0-50
Resign,A10,English Opening,201-250
Mate,C62,Ruy Lopez,>250
Mate,D21,Queen's Gambit,>250
Mate,C45,Scotch Game,>250
Mate,C55,Italian Game,151-200
Mate,B01,Scandinavian Defense,>250
Mate,C55,Italian Game,>250
Mate,D06,Queen's Gambit,>250
Mate,C46,Three Knights Opening,>250
Resign,C46,Four Knights Game,101-150
Resign,B01,Scandinavian Defense,>250
Mate,C00,French Defense,>250
Out of Time,B40,Sicilian Defense,51-100
Mate,A15,English Opening,>250
Resign,B20,Sicilian Defense,>250
Mate,C44,Scotch Game,>250
Mate,D02,Queen's Pawn Game,0-50
Mate,A30,English Opening,201-250
Resign,C41,Philidor Defense,51-100
Out of Time,B23,Sicilian Defense,>250
Mate,B20,Sicilian Defense,51-100
Mate,C70,Ruy Lopez,>250
Resign,B00,St. George Defense,101-150
Resign,D02,Queen's Pawn Game,>250
Resign,D00,Queen's Pawn Game,>250
Mate,D05,Colle System,101-150
Mate,B20,Sicilian Defense,51-100
Resign,D01,Queen's Pawn Game,201-250
Mate,C20,King's Pawn Game,0-50
Resign,A46,Torre Attack,0-50
Mate,B40,Sicilian Defense,51-100
Mate,A40,Englund Gambit Complex,0-50
Resign,D02,Queen's Pawn Game,>250
Resign,A40,Horwitz Defense,>250
Resign,A01,Nimzo-Larsen Attack,101-150
Resign,A10,English Opening,51-100
Resign,D01,Queen's Pawn Game,151-200
Mate,D20,Queen's Gambit,>250
Resign,C20,King's Pawn Game,>250
Resign,D02,Queen's Pawn Game,>250
Mate,C25,Vienna Game,>250
Resign,A00,Van't Kruijs Opening,>250
Mate,C41,Philidor Defense,>250
Resign,B06,Modern Defense,>250
Mate,C51,Italian Game,201-250
Resign,C21,Center Game,>250
Mate,C44,King's Knight Opening,51-100
Mate,A06,Zukertort Opening,201-250
Resign,C40,Gunderam Defense,>250
Mate,A46,Torre Attack,>250
Mate,C51,Italian Game,51-100
Resign,A00,Saragossa Opening,101-150
Resign,B27,Sicilian Defense,>250
Mate,A00,Ware Opening,>250
Resign,B00,Owen Defense,>250
Mate,D30,Queen's Gambit,>250
Resign,B30,Sicilian Defense,>250
Mate,C23,Bishop's Opening,>250
Resign,C20,King's Pawn Game,>250
Mate,A00,Saragossa Opening,>250
Resign,C40,Gunderam Defense,151-200
Resign,C30,King's Gambit,>250
Resign,C20,King's Pawn Game,51-100
Mate,A00,Saragossa Opening,51-100
Resign,C50,Italian Game,>250
Out of Time,C20,King's Pawn Game,101-150
Mate,C26,Vienna Game,51-100
Resign,A00,Saragossa Opening,0-50
Resign,C41,Philidor Defense,>250
Resign,C24,Bishop's Opening,>250
Resign,C24,Bishop's Opening,201-250
Mate,A00,Van't Kruijs Opening,0-50
Out of Time,B01,Scandinavian Defense,201-250
Resign,B07,Pirc Defense,>250
Mate,C65,Ruy Lopez,>250
Resign,B52,Sicilian Defense,101-150
Mate,D00,Queen's Pawn Game,151-200
Resign,C42,Petrov's Defense,0-50
Resign,D00,Queen's Pawn Game,201-250
Mate,C41,Philidor Defense,101-150
Mate,A00,Van Geet Opening,151-200
Out of Time,B21,Sicilian Defense,>250
Resign,D00,Queen's Pawn Game,>250
Resign,A07,King's Indian Attack,>250
Resign,A02,Bird Opening,>250
Resign,A00,Hungarian Opening,>250
Mate,D02,Queen's Pawn Game,>250
Resign,C65,Ruy Lopez,101-150
Resign,C00,French Defense,>250
Mate,D00,Queen's Pawn Game,151-200
Resign,B45,Sicilian Defense,>250
Mate,C02,French Defense,>250
Mate,A40,Horwitz Defense,151-200
Mate,C60,Ruy Lopez,0-50
Resign,B30,Sicilian Defense,0-50
Mate,D06,Queen's Gambit,0-50
Resign,C68,Ruy Lopez,>250
Mate,B06,Modern Defense,101-150
Mate,A00,Mieses Opening,51-100
Out of Time,D00,Queen's Pawn Game,>250
Resign,B01,Scandinavian Defense,201-250
Resign,C43,Russian Game,0-50
Resign,C00,French Defense,>250
Resign,C45,Scotch Game,>250
Resign,C37,King's Gambit,>250
Mate,C60,Ruy Lopez,>250
Mate,C40,King's Pawn Game,51-100
Mate,C41,Philidor Defense,0-50
Resign,B02,Alekhine Defense,151-200
Resign,A00,Van't Kruijs Opening,>250
Resign,C00,French Defense,51-100
Mate,A00,Van't Kruijs Opening,151-200
Mate,C00,French Defense,101-150
Mate,A00,Van't Kruijs Opening,51-100
Mate,C00,French Defense,51-100
Mate,A00,Van't Kruijs Opening,>250
Mate,C00,French Defense,>250
Mate,C00,French Defense,>250
Mate,A00,Van't Kruijs Opening,>250
Resign,A45,Indian Game,0-50
Mate,C55,Italian Game,0-50
Resign,B50,Sicilian Defense,0-50
Resign,C55,Italian Game,0-50
Resign,B01,Scandinavian Defense,0-50
Mate,C53,Italian Game,0-50
Resign,A01,Nimzo-Larsen Attack,0-50
Mate,B25,Sicilian Defense,0-50
Resign,C55,Italian Game,51-100
Resign,C53,Italian Game,51-100
Resign,C53,Italian Game,0-50
Resign,B25,Sicilian Defense,0-50
Out of Time,B50,Sicilian Defense,0-50
Resign,B12,Caro-Kann Defense,0-50
Resign,B20,Sicilian Defense,0-50
Mate,B50,Sicilian Defense,0-50
Resign,C53,Italian Game,0-50
Resign,B20,Sicilian Defense,0-50
Mate,C55,Italian Game,0-50
Resign,B20,Sicilian Defense,0-50
Out of Time,C55,Italian Game,0-50
Resign,B20,Sicilian Defense,0-50
Resign,B54,Sicilian Defense,0-50
Out of Time,B21,Sicilian Defense,0-50
Resign,C55,Italian Game,0-50
Resign,B57,Sicilian Defense,0-50
Mate,C50,Italian Game,0-50
Resign,B20,Sicilian Defense,0-50
Resign,B84,Sicilian Defense,0-50
Resign,B50,Sicilian Defense,51-100
Resign,C41,Philidor Defense,>250
Resign,B20,Sicilian Defense,0-50
Resign,B90,Sicilian Defense,0-50
Resign,C55,Italian Game,>250
Resign,C41,Philidor Defense,51-100
Resign,B21,Sicilian Defense,51-100
Resign,C41,Philidor Defense,51-100
Resign,B34,Sicilian Defense,0-50
Resign,B54,Sicilian Defense,0-50
Mate,C14,French Defense,0-50
Mate,B51,Sicilian Defense,51-100
Draw,C50,Italian Game,0-50
Resign,C53,Italian Game,51-100
Draw,B20,Sicilian Defense,51-100
Mate,C41,Philidor Defense,0-50
Mate,A45,Indian Game,0-50
Mate,C50,Italian Game,0-50
Resign,A00,Van't Kruijs Opening,51-100
Resign,C16,French Defense,51-100
Resign,A00,Mieses Opening,51-100
Resign,B06,Modern Defense,101-150
Out of Time,A00,Hungarian Opening,>250
Mate,B06,Modern Defense,>250
Mate,B06,Modern Defense,>250
Mate,A00,Hungarian Opening,201-250
Resign,A00,Hungarian Opening,>250
Resign,A00,Hungarian Opening,201-250
Resign,A00,Hungarian Opening,151-200
Resign,D00,Queen's Pawn Game,151-200
Mate,B12,Caro-Kann Defense,0-50
Mate,C10,French Defense,>250
Mate,C88,Ruy Lopez,101-150
Resign,B33,Sicilian Defense,151-200
Resign,C77,Ruy Lopez,51-100
Mate,A15,English Opening,>250
Mate,D00,Queen's Pawn Game,201-250
Out of Time,C50,Italian Game,151-200
Resign,D06,Queen's Gambit,51-100
Mate,B90,Sicilian Defense,0-50
Resign,C45,Scotch Game,>250
Resign,B34,Sicilian Defense,>250
Mate,C02,French Defense,>250
Resign,A01,Nimzo-Larsen Attack,0-50
Resign,B01,Scandinavian Defense,0-50
Resign,B07,Rat Defense,201-250
Resign,D35,Queen's Gambit,51-100
Resign,B20,Sicilian Defense,101-150
Resign,D30,Queen's Gambit,101-150
Mate,D06,Queen's Gambit,151-200
Resign,C00,French Defense,0-50
Resign,B30,Sicilian Defense,>250
Resign,D30,Queen's Gambit,>250
Resign,C45,Scotch Game,>250
Resign,B50,Sicilian Defense,0-50
Out of Time,A01,Nimzo-Larsen Attack,101-150
Resign,B91,Sicilian Defense,>250
Resign,C77,Ruy Lopez,>250
Draw,C00,French Defense,>250
Out of Time,C40,King's Pawn Game,201-250
Resign,D00,Queen's Pawn Game,0-50
Resign,A40,Horwitz Defense,51-100
Mate,D00,Queen's Pawn Game,0-50
Mate,D00,Queen's Pawn Game,>250
Resign,B20,Sicilian Defense,>250
Mate,D00,Queen's Pawn Game,201-250
Mate,D02,Queen's Pawn Game,0-50
Mate,D00,Queen's Pawn Game,0-50
Mate,B50,Sicilian Defense,51-100
Resign,B71,Sicilian Defense,101-150
Resign,B20,Sicilian Defense,151-200
Out of Time,B21,Sicilian Defense,>250
Resign,A40,Horwitz Defense,>250
Resign,A39,English Opening,0-50
Resign,A04,Zukertort Opening,151-200
Mate,A05,King's Indian Attack,51-100
Resign,B21,Sicilian Defense,0-50
Mate,A04,Zukertort Opening,51-100
Resign,A39,English Opening,>250
Mate,B20,Sicilian Defense,0-50
Mate,A04,Zukertort Opening,101-150
Mate,A01,Nimzo-Larsen Attack,>250
Resign,D30,Queen's Gambit,51-100
Resign,B34,Sicilian Defense,101-150
Resign,C00,French Defense,0-50
Mate,C02,French Defense,>250
Resign,D32,Tarrasch Defense,151-200
Out of Time,B34,Sicilian Defense,>250
Resign,C41,Philidor Defense,51-100
Mate,D35,Queen's Gambit,>250
Resign,C48,Four Knights Game,>250
Resign,C77,Ruy Lopez,>250
Mate,C01,French Defense,101-150
Resign,C00,St. George Defense,0-50
Resign,A00,Van't Kruijs Opening,151-200
Out of Time,C40,King's Knight Opening,151-200
Out of Time,A00,Hungarian Opening,>250
Mate,C20,English Opening,51-100
Out of Time,B00,Owen Defense,51-100
Out of Time,A40,Englund Gambit,51-100
Out of Time,C23,Bishop's Opening,0-50
Out of Time,B02,Alekhine Defense,0-50
Out of Time,C40,King's Pawn Game,0-50
Out of Time,B20,Sicilian Defense,0-50
Resign,A00,Van't Kruijs Opening,201-250
Resign,D43,Semi-Slav Defense,>250
Out of Time,B02,Alekhine Defense,0-50
Draw,C33,King's Gambit,101-150
Resign,C55,Italian Game,>250
Mate,A00,Van't Kruijs Opening,51-100
Out of Time,C00,French Defense,0-50
Out of Time,B01,Scandinavian Defense,0-50
Mate,C42,Russian Game,51-100
Mate,A45,Paleface Attack,151-200
Mate,B01,Scandinavian Defense,201-250
Mate,B21,Sicilian Defense,>250
Draw,C40,King's Pawn Game,51-100
Resign,C30,King's Gambit,151-200
Out of Time,C20,King's Pawn Game,101-150
Mate,C42,Russian Game,0-50
Resign,D00,Queen's Pawn Game,51-100
Mate,A10,English Opening,0-50
Mate,B23,Sicilian Defense,0-50
Mate,B23,Sicilian Defense,0-50
Out of Time,C46,Four Knights Game,101-150
Out of Time,C44,King's Pawn Game,0-50
Resign,C68,Ruy Lopez,0-50
Out of Time,B10,Caro-Kann Defense,>250
Draw,C41,Philidor Defense,>250
Resign,C02,French Defense,0-50
Mate,C50,Italian Game,151-200
Mate,D02,Queen's Pawn Game,>250
Resign,C55,Italian Game,0-50
Resign,C47,Four Knights Game,101-150
Resign,C61,Ruy Lopez,101-150
Resign,C55,Italian Game,101-150
Resign,C26,Vienna Game,101-150
Resign,C55,Italian Game,0-50
Resign,C61,Ruy Lopez,0-50
Mate,D08,Queen's Gambit,0-50
Resign,B01,Scandinavian Defense,101-150
Resign,C55,Italian Game,>250
Resign,C46,Four Knights Game,>250
Mate,B30,Sicilian Defense,0-50
Resign,C55,Italian Game,101-150
Mate,B07,Pirc Defense,0-50
Mate,C50,Italian Game,>250
Resign,C50,Four Knights Game,0-50
Resign,C61,Ruy Lopez,151-200
Resign,C62,Ruy Lopez,>250
Resign,C41,Philidor Defense,>250
Mate,C50,Italian Game,0-50
Mate,C20,King's Pawn Game,151-200
Resign,D08,Queen's Gambit,>250
Resign,C44,Scotch Game,151-200
Resign,C55,Italian Game,0-50
Resign,C50,Four Knights Game,0-50
Mate,B07,Pirc Defense,>250
Mate,A00,Saragossa Opening,>250
Out of Time,A10,English Opening,0-50
Mate,A00,Van Geet Opening,0-50
Resign,C50,Italian Game,>250
Resign,B01,Scandinavian Defense,0-50
Resign,B56,Sicilian Defense,151-200
Mate,C20,King's Pawn Game,201-250
Draw,C45,Scotch Game,0-50
Resign,C28,Vienna Game,151-200
Mate,C46,Four Knights Game,151-200
Resign,D00,Queen's Pawn Game,0-50
Mate,C40,Elephant Gambit,201-250
Resign,C46,Three Knights Opening,201-250
Mate,C47,Four Knights Game,0-50
Mate,C46,Four Knights Game,>250
Resign,C15,French Defense,51-100
Resign,D02,Queen's Pawn Game,101-150
Resign,A00,Mieses Opening,101-150
Resign,A40,Queen's Pawn,>250
Mate,A40,Mikenas Defense,151-200
Out of Time,B07,King's Pawn Game,0-50
Resign,A40,Queen's Pawn,101-150
Out of Time,C23,Bishop's Opening,101-150
Resign,B07,Pirc Defense,0-50
Mate,A40,Mikenas Defense,0-50
Resign,C44,Scotch Game,0-50
Mate,B00,Goldsmith Defense,51-100
Mate,A00,Anderssen Opening,201-250
Mate,C41,Philidor Defense,151-200
Resign,B07,Pirc Defense,0-50
Mate,C20,King's Pawn Game,0-50
Mate,B00,Hippopotamus Defense,0-50
Mate,C20,King's Pawn Game,>250
Mate,C20,English Opening,151-200
Mate,C00,French Defense,151-200
Resign,B40,Sicilian Defense,0-50
Mate,D02,Queen's Pawn Game,51-100
Resign,C41,Philidor Defense,0-50
Resign,C41,Philidor Defense,51-100
Resign,C02,French Defense,0-50
Mate,B06,Modern Defense,0-50
Resign,B40,Sicilian Defense,51-100
Resign,A06,Reti Opening,0-50
Resign,B22,Sicilian Defense,0-50
Resign,E01,Catalan Opening,51-100
Resign,C23,Bishop's Opening,0-50
Resign,B30,Sicilian Defense,51-100
Resign,C23,Bishop's Opening,0-50
Resign,C69,Ruy Lopez,0-50
